"aba, Aphis"
"chaetosiphon, Aphis, Chaetosiphon, Holmania, Macrosiphoniella, Neobetulaphis, Pterocomma, Sorbaphis, Toxoptera see Aphis"
"chamaedrys, Ovatomyzus"
"chamaemelifoliae, Macrosiphoniella"
"chamaerhodi, Szelegiewicziella"
"chandrani, Metopolophium"
"chani, Uroleucon"
"chanikiwiti, Sitobion see leelamaniae"
"chelidonii, Acyrthosiphon"
"chilense, Uroleucon"
"chilopsidi, Aphis"
"chita, Macrosiphoniella see saussureae"
"chloris, Aphis"
"cholodkovsyi, Macrosiphum"
"cholsunensis, Rhodiolaphis see Brachycaudus sedi "
"chomoense, Elatobium"
"chondrillae, Protaphis, Uroleucon"
"chosoni, Lachnus, Macrosiphoniella abrotani ssp."
"chrysanthemi, Chaitophorus see nassonowi, Pleotrichophorus, Uroleucon"
"chrysopsidicola, Uroleucon"
"chrysosplenii, Taiwanomyzus"
"chrysothamni, Aphis"
"chrysothamnicola, Aphis"
"churchillense, Acyrthosiphon"
"chusqueae, Rhopalosiphum"
"cicerbitae, Uroleucon"
"ciceri, Aphis"
"cichorii, Uroleucon"
"cicutisucta, Cavariella"
"ciefi, Uroleucon"
"cimicifugae, Aphis"
"cinae, Xerobion"
"cinerascens, Macrosiphoniella"
"cinerea, Aphis"
"cirsiariston, Unisitobion see Chitinosiphon cirsorhizum"
"cirsicola, Aphis, Aulacorthum, Uroleucon"
"cirsii, Dysaphis lappae ssp."
"cirsii, Radiaphis see Chitinosiphon cirsorhizum"
"cirsii, Uroleucon"
"cirsiiacanthoidis, Aphis fabae ssp."
"cirsiioleracei, Aphis"
"cirsiiphagus, Capitophorus"
"cirsiphila, Aphis"
"cirsomilos, Radicisiphum see Chitinosiphon cirsorhizum"
"cirsorhizum, Chitinosiphon"
"cissi, Sitobion"
"citrina, Aphis see chloris"
"citrinus, Cryptomyzus galeopsidis ssp."
"clauseni, Subiziphya"
"claytoniae, Macrosiphum"
"clematicola, Aphis, Colophina"
"clematidis, Aphis"
"clematifoliae, Macrosiphum"
"clematiphaga, Aphis"
"clematophagum, Macrosiphum"
"clematophilus, Tubaphis"
"clerodendri, Aphis, Prociphilus"
"cliftonensis, Aphis"
"clinepetae, Aphis"
"clinopodii, Aphis, Eumyzus "
"clum, Macrosiphum"
"clydesmithi, Aphis, Macrosiphum, Nearctaphis"
"cochleariae, Lipaphis"
"cockerelli, Macrosiphum see rudbeckiarum"
"codonopsicola, Megouroleucon"
"codonopsidis, Rhopalomyzus"
"codonopsis, Neomyzus"
"coerulescens, Hyadaphis"
"coffeae, Sinomegoura"
"coffeata, Aphis"
"colchica, Paczoskia"
"colei, Sitobion"
"collomiae, Nasonovia"
"colocasiae, Hydronaphis"
"coloradense, Uroleucon"
"coloutensis, Amphorophora"
"columbiana, Braggia"
"coluteae, Pemphigus see vesicarius"
"comari, Aphis"
"commelinensis, Utamphorophora"
"comosa, Aphis"
"compositarum, Oedisiphum"
"compositellae, Nasonovia"
"conandri, Xenosiphonaphis"
"coniumi, Semiaphis"
"conspicua, Aphis"
"constrictum, Macrosiphum"
"coprosmae, Aphis"
"corallinum, Macrosiphum see cholodkovsyi"
"corallorhizae, Macrosiphum"
"coraria, Aphis lantanae ssp."
"corazonensis, Carolinaia"
"coreanum, Chaetosiphon"
"coriandri, Hyadaphis"
"coridifoliae, Aphis"
"coringiae, Lipaphis rossi ssp."
"cornuta, Aphis, Trichosiphonaphis"
"coronillae, Aphis"
"coronopifoliae, Aphis"
"corsicae, Acyrthosiphon"
"corsicensis, Aphidura"
"cortusae, Anuraphis"
"corydalicola, Aulacorthum"
"corydalis, Macrosiphum"
"corydalisicola, Longicaudinus"
"coryspermi, Semiaphis"
"costalis, Aphis"
"cotoneasteris, Anuromyzus"
"cottieri, Aphis"
"cousiniae, Protaphis, Dysaphis"
"coweni, Adelges, Aphis see cercocapi, Obtusicauda, Tamalia"
"craccae, Aphis"
"crambe, Brevicoryne"
"crambinistataricae, Brevicoryne see crambe"
"crassicauda, Megoura"
"crassicornis, Indiaphis, Lachnus"
"crassisetosa, Nigritergaphis"
"crassitibiae, Brachycaudus"
"crassitubia, Obtusicauda moldavica ssp."
"creelii, Macrosiphum"
"crenicorna, Nasonovia"
"crepidis, Acyrthosiphon, Aphis, Macrosiphoniella, Uroleucon formosanum ssp."
"crepusisiphon, Uroleucon"
"crithmi, Dysaphis"
"crypta, Aphis, see Protaphis middletonii"
"cryptobium, Subacyrthosiphon"
"cryptotaeniae, Amphorophora"
"crystleae, Anthracosiphon"
"crystleae, Illinoia"
"cucubali, Brachycolus"
"cuprea, Schizaphis"
"curtiseta, Aphis"
"cuscutae, Aphis, Brachyunguis, Macrosiphum"
"cuspidata, Muscaphis"
"cyatheae, Macrosiphum"
"cylactis, Aulacorthum"
"cymbalariae, Myzus"
"cymbariae, Macrosiphoniella"
"cynanchi, Brachyunguis"
"cynanchiacuti, Brachyunguis see bicolor"
"cynarae, Dysaphis lappae ssp."
"cynosbati, Nasonovia"
"cyparissiae, Acyrthosiphon"
"cyperi, Allaphis, Carolinaia"
"cyrtomophilum, Cyrtomophorodon"
"cystopteris, Macrosiphum"
"daisenensis, Melanaphis"
"dalhousiensis, Impatientinum asiaticum ssp."
"damrosae, Macropodaphis see paradoxa"
"danielae, Aphis"
"daphnidis, Macrosiphum, Acyrthosiphon"
"darjeelingensis, Taiwanomyzus see montanus"
"darjeelingensis, Eumyzus, Metopolophium"
"darjeelingi, Hillerislambersia"
"darjilingense, Metopolophium see lacheni"
"dasi, Aulacorthum, Micromyzodium"
"dasiphorae, Aphis, Macropodaphis see primigenius"
"dasyphylli, Nasonovia"
"dauci, Semiaphis"
"dauricum, Acyrthosiphon"
"davalliae, Micromyzella"
"davazhamci, Macrosiphoniella"
"daviaulti, Allaphis"
"debile, Uroleucon"
"debilicornis, Protaphis"
"debregeasiae, Myzus"
"decepta, Aphis"
"dehbani, Iranaphias"
"delguercoi, Trama see caudata"
"deltense, Uroleucon"
"deltoidei, Dysaphis"
"denaensis, Bicaudella"
"dendrobii, Neomyzus"
"deserta, Coloradoa"
"deserticola, Braggia, Macrosiphoniella scopariae ssp."
"desertorum, Xerobion"
"desmodiorum, Microparsus"
"deutziae, Nippodysaphis"
"deutzifoliae, Rhopalosiphoninus"
"dianthicola, Myzus"
"dicentrae, Macrosiphum, Neomyzus"
"dickeri, Cryptomyzus galeopsidis ssp."
"dicksoni, Tamalia"
"diervillae, Macrosiphum, Micromyzus"
"difabioae, Aphis"
"digitata, Cavariella, Tuberoaphis hydrangeae ssp."
"dilonicerae, Prociphilus"
"dismilaceti, Sitobion"
"dispersum, Ipuka"
"diutius, Pleotrichophorus"
"divia, Macrosiphoniella tanacetaria ssp. see artemisiae                "
"dlabolai, Aphis"
"dobrovljanskyi, Ctenocallis"
"doellingeriae, Chitinosiphon, Uroleucon"
"doipuiensis, Ceratovacuna"
"dolychosiphon, Obtusicauda"
"domenechi, Essigella"
"donacis, Melanaphis"
"doncasteri, Atheroides"
"dongtaiensis, Kaltenbachiella pallida ssp."
"donisthorpei, Paracletus"
"dooarsis, Megoura"
"doronici, Uroleucon"
"doronicicola, Macrosiphum"
"dorsatum, Aulacorthum, Sitobion see Aulacorthum"
"dorycnii, Therioaphis"
"dracocephali, Klimaszewskia"
