Brachyunguis bonnevillensis
Brachyunguis cahuille
Brachyunguis tetrapteralis
Braggia agathona
Braggia columbiana
Braggia deserticola
Braggia echinata
Braggia echinata
Braggia eriogoni
Braggia longicauda
Braggia uncompahgrensis
Braggia urovaneta
Brevicoryne arctica
Brevicoryne brassicae
Brevicoryne fraterna
Byrsocryptoides zelkovae
Byrsocryptoides zelkovaecola
Cachryphora canadensis
Cachryphora imbricaria
Cachryphora serotinae
Calaphis (Cepegillettea) betulaefoliae
Calaphis (Cepegillettea) myricae
Calaphis alni
Calaphis arctica
Calaphis basalis
Calaphis betulaecolens
Calaphis betulaefoliae
Calaphis betulella
Calaphis betulicola
Calaphis coloradensis
Calaphis flava
Calaphis granovskyi
Calaphis leonardi
Calaphis manitobensis
Calaphis myricae
Calaphis neobetulella
Calaphis viridipallida
Callipterinella annulatus
Callipterinella calliptera
Callipterinella minutissima
Capitophorus acanthovillus
Capitophorus archangelskii
Capitophorus carduinus
Capitophorus elaeagni
Capitophorus elaeagni
Capitophorus essigi
Capitophorus formosartemisiae
Capitophorus hippophaes
Capitophorus horni
Capitophorus hudsonicus
Capitophorus jopepperi
Capitophorus pakansus
Capitophorus pakansus
Capitophorus shepherdiae
Capitophorus xanthii
Carolinaia (Glabromyzus) corazonensis
Carolinaia (Glabromyzus) howardii
Carolinaia (Glabromyzus) quednaui
Carolinaia (Glabromyzus) rhois
Carolinaia (Glabromyzus) schlingeri
Carolinaia (Glabromyzus) setariae
Carolinaia (Juncomyzus) scirpi
Carolinaia caricis
Carolinaia carolinensis
Carolinaia corazonensis
Carolinaia cyperi
Carolinaia floridensis
Carolinaia howardii
Carolinaia rhois
Carolinaia rhusifoliae
Carolinaia schlingeri
Carolinaia scirpi
Carolinaia setariae
Carolinaia tissoti
Catamergus fulvae
Catamergus kickapoo
Cavariella (Cavaraiellia) aquatica
Cavariella aegopodii
Cavariella aquatica
Cavariella archangelicae
Cavariella borealis
Cavariella digitata
Cavariella hendersoni
Cavariella konoi
Cavariella pastinacae
Cavariella pseudopustula
Cavariella pustula
Cavariella salicis
Cavariella theobaldi
Cedoaphis incognita
Cedoaphis maxsoni
Cepegillettea viridis
Cerataphis brasiliensis
Cerataphis fransseni
Cerataphis lataniae
Cerataphis orchidearum
Cerataphis palmae
Cerataphis variabilis
Ceruraphis eriophori
Ceruraphis viburnicola
Cervaphis rappardi
Chaetosiphon (Pentatrichopus) fragaefolii
Chaetosiphon (Pentatrichopus) hottesi
Chaetosiphon (Pentatrichopus) jacobi
Chaetosiphon (Pentatrichopus) minus
Chaetosiphon (Pentatrichopus) potentillae
Chaetosiphon (Pentatrichopus) tetrarhodum
Chaetosiphon (Pentatrichopus) thomasi
Chaetosiphon fragaefolii
Chaetosiphon hottesi
Chaetosiphon jacobi
Chaetosiphon minus
Chaetosiphon potentillae
Chaetosiphon scalaris
Chaetosiphon tetrarhodum
Chaetosiphon thomasi
Chaitophorus balsamiferinus
Chaitophorus crucis
Chaitophorus eoessigi
Chaitophorus essigi
Chaitophorus euphraticus
Chaitophorus horii
Chaitophorus leucomelas
Chaitophorus longipes
Chaitophorus longiunguis
Chaitophorus macgillivrayae
Chaitophorus macrostachyae
Chaitophorus minutus
Chaitophorus monelli
Chaitophorus neglectus
Chaitophorus nigrae
Chaitophorus nigricentrus
Chaitophorus nodulosus
Chaitophorus nudus
Chaitophorus pallipes
Chaitophorus populellus
Chaitophorus populialbae
Chaitophorus populicola
Chaitophorus populifolii
Chaitophorus purpureae
Chaitophorus pusillus
Chaitophorus pustulatus
Chaitophorus salicicola
Chaitophorus saliciniger
Chaitophorus stevensis
Chaitophorus utahensis
